ptmin ptmax Raa(highecc)/Raa(unb) Raa(lowecc)/Raa(unb)
0.00 0.20 1.013 0.984
0.20 0.40 1.009 0.995
0.40 0.60 0.993 1.000
0.60 0.80 0.987 1.007
0.80 1.00 0.970 1.009
1.00 1.20 0.962 1.016
1.20 1.40 0.946 1.012
1.40 1.60 0.950 1.017
1.60 1.80 0.950 1.012
1.80 2.00 0.965 1.008
2.00 2.50 0.984 0.999
2.50 3.00 1.031 0.991
3.00 3.50 1.080 0.981
3.50 4.00 1.112 0.973
4.00 5.00 1.129 0.973
5.00 6.00 1.143 0.980
6.00 7.00 1.135 0.979
7.00 8.00 1.129 0.969
8.00 9.00 1.122 0.973
9.00 10.0 1.117 0.969
10.0 12.0 1.130 0.969
12.0 14.0 1.117 1.018
14.0 16.0 1.076 0.920
